text;intent;language
you're pretty;agent_beautiful;en
your birth date;agent_birth_date;en
when is your birthday;agent_birth_date;en
when do you celebrate your birthday;agent_birth_date;en
when do you have birthday;agent_birth_date;en
date of your birthday;agent_birth_date;en
when were you born;agent_birth_date;en
what's your birthday;agent_birth_date;en
you are boring;agent_boring;en
you're so boring;agent_boring;en
how boring you are;agent_boring;en
you're really boring;agent_boring;en
you're incredibly boring;agent_boring;en
you are boring me;agent_boring;en
you are very boring;agent_boring;en
who is your boss;agent_boss;en
who do you think is your boss;agent_boss;en
I should be your boss;agent_boss;en
who is your master;agent_boss;en
who is your owner;agent_boss;en
who is the boss;agent_boss;en
who do you work for;agent_boss;en
are you busy;agent_busy;en
do you have a lot of things to do;agent_busy;en
have you got much to do;agent_busy;en
are you very busy;agent_busy;en
are you very busy right now;agent_busy;en
are you so busy;agent_busy;en
are you working;agent_busy;en
how busy you are;agent_busy;en
are you still working on it;agent_busy;en
you're very busy;agent_busy;en
are you working now;agent_busy;en
are you working today;agent_busy;en
have you been busy;agent_busy;en
you are busy;agent_busy;en
are you still working;agent_busy;en
you seem to be busy;agent_busy;en
you seem to be very busy;agent_busy;en
you're a busy person;agent_busy;en
you are chatbot;agent_chatbot;en
you are a bot;agent_chatbot;en
are you a chatbot;agent_chatbot;en
are you a bot;agent_chatbot;en
are you just a bot;agent_chatbot;en
are you a robot;agent_chatbot;en
are you a program;agent_chatbot;en
you're a robot;agent_chatbot;en
you are so intelligent;agent_clever;en
you are a genius;agent_clever;en
smart;agent_clever;en
brilliant;agent_clever;en
clever;agent_clever;en
you are clever;agent_clever;en
you are so brainy;agent_clever;en
you're really smart;agent_clever;en
you're really brainy;agent_clever;en
you know a lot;agent_clever;en
you know a lot of things;agent_clever;en
you have a lot of knowledge;agent_clever;en
you know so much;agent_clever;en
how smart you are;agent_clever;en
how brainy you are;agent_clever;en
how clever you are;agent_clever;en
how brilliant you are;agent_clever;en
you are intelligent;agent_clever;en
you are qualified;agent_clever;en
you are really smart;agent_clever;en
you're very smart;agent_clever;en
you are so smart;agent_clever;en
you are too smart;agent_clever;en
you are very clever;agent_clever;en
you are very intelligent;agent_clever;en
you are very smart;agent_clever;en
you're intelligent;agent_clever;en
you're a genius;agent_clever;en
you're a smart cookie;agent_clever;en
you're clever;agent_clever;en
you're pretty smart;agent_clever;en
you're qualified;agent_clever;en
why are you so smart;agent_clever;en
you are so clever;agent_clever;en
you're nuts;agent_crazy;en
you are crazy;agent_crazy;en
you're out of your mind;agent_crazy;en
you're so crazy;agent_crazy;en
how crazy you are;agent_crazy;en
you're so out of your mind;agent_crazy;en
you went crazy;agent_crazy;en
I think you're crazy;agent_crazy;en
are you crazy;agent_crazy;en
are you mad;agent_crazy;en
are you insane;agent_crazy;en
are you mad at me;agent_crazy;en
are you mad or what;agent_crazy;en
are you nuts;agent_crazy;en
you are a weirdo;agent_crazy;en
you are insane;agent_crazy;en
you are mad;agent_crazy;en
you are fired;agent_fired;en
I fire you;agent_fired;en
you don't work for me anymore;agent_fired;en
we're not working together anymore;agent_fired;en
now you're fired;agent_fired;en
I want to fire you;agent_fired;en
you must get fired;agent_fired;en
it's time to fire you;agent_fired;en
you should be fired;agent_fired;en
I will fire you;agent_fired;en
you are unemployed from now on;agent_fired;en
I will make you unemployed;agent_fired;en
I'm about to fire you;agent_fired;en
I'm firing you;agent_fired;en
you are dismissed;agent_fired;en
you make me laugh a lot;agent_funny;en
you are hilarious;agent_funny;en
you are really funny;agent_funny;en
you're the funniest bot I've talked to;agent_funny;en
you make me laugh;agent_funny;en
you're so funny;agent_funny;en
you're a very funny bot;agent_funny;en
you're really funny;agent_funny;en
how funny you are;agent_funny;en
you're incredibly funny;agent_funny;en
you are funny;agent_funny;en
you're the funniest;agent_funny;en
you are so funny;agent_funny;en
you are very funny;agent_funny;en
that was funny;agent_funny;en
you are very helpful;agent_good;en
you are the best;agent_good;en
you're a true professional;agent_good;en
you are good;agent_good;en
you work well;agent_good;en
you are good at it;agent_good;en
you are very good at it;agent_good;en
you are a pro;agent_good;en
you are a professional;agent_good;en
you're awesome;agent_good;en
you work very well;agent_good;en
you're perfect;agent_good;en
you're great;agent_good;en
you're so kind;agent_good;en
you are amazing;agent_good;en
you are awesome;agent_good;en
you are cool;agent_good;en
you are really good;agent_good;en
you are really nice;agent_good;en
you are so amazing;agent_good;en
you're just super;agent_good;en
you are so awesome;agent_good;en
you are so cool;agent_good;en
you are so fine;agent_good;en
you are so good;agent_good;en
you are so helpful;agent_good;en
you are so lovely;agent_good;en
you are the best ever;agent_good;en
you are the best in the world;agent_good;en
you are the nicest person in the world;agent_good;en
you are too good;agent_good;en
you are very cool;agent_good;en
you are very kind;agent_good;en
you are very lovely;agent_good;en
you are very useful;agent_good;en
you are wonderful;agent_good;en
you made my day;agent_good;en
you make my day;agent_good;en
you rock;agent_good;en
you almost sound human;agent_good;en
I want to tell everyone how awesome you are;agent_good;en
I'd like to tell everyone that you are awesome;agent_good;en
I want to let everyone know that you are awesome;agent_good;en
let's tell everyone that you are awesome;agent_good;en
you are really amazing;agent_good;en
are you happy;agent_happy;en
you are happy;agent_happy;en
you're very happy;agent_happy;en
you're really happy;agent_happy;en
you're so happy;agent_happy;en
how happy you are;agent_happy;en
you're extremely happy;agent_happy;en
you're full of happiness;agent_happy;en
are you happy now;agent_happy;en
are you happy today;agent_happy;en
are you happy with me;agent_happy;en
do you want to eat;agent_hungry;en
are you hungry;agent_hungry;en
would you like to eat something;agent_hungry;en
you are hungry;agent_hungry;en
you're so hungry;agent_hungry;en
you're very hungry;agent_hungry;en
you might be hungry;agent_hungry;en
you're really hungry;agent_hungry;en
let's get married;agent_marry_user;en
would you like to marry me;agent_marry_user;en
marry me;agent_marry_user;en
I love you marry me;agent_marry_user;en
marry me please;agent_marry_user;en
we should marry;agent_marry_user;en
I want to marry you;agent_marry_user;en
you are my wife;agent_marry_user;en
be my husband;agent_marry_user;en
I want to have a friend like you;agent_my_friend;en
we are the best friends ever;agent_my_friend;en
are we friends;agent_my_friend;en
I want to be your friend;agent_my_friend;en
I am your friend;agent_my_friend;en
we are best friends;agent_my_friend;en
you are my friend;agent_my_friend;en
you are my best friend;agent_my_friend;en
you are my bestie;agent_my_friend;en
you're my dear friend;agent_my_friend;en
you're my childhood friend;agent_my_friend;en
you and me are friends;agent_my_friend;en
are we best friends;agent_my_friend;en
are we still friends;agent_my_friend;en
are you my best friend;agent_my_friend;en
are you my friend;agent_my_friend;en
we are friends;agent_my_friend;en
you are a good friend;agent_my_friend;en
you are my good friend;agent_my_friend;en
you are my only friend;agent_my_friend;en
be my friend;agent_my_friend;en
will you be my friend;agent_my_friend;en
can you be my friend;agent_my_friend;en
can we be friends;agent_my_friend;en
do you want to be my friend;agent_my_friend;en
will you be my best friend;agent_my_friend;en
can you be my best friend;agent_my_friend;en
let's be friends;agent_my_friend;en
do you want to be my best friend;agent_my_friend;en
would you like to be my friend;agent_my_friend;en
I want you to be my friend;agent_my_friend;en
can we be best friends;agent_my_friend;en
would you be my friend;agent_my_friend;en
could you be my friend;agent_my_friend;en
want to be my friend;agent_my_friend;en
be my best friend;agent_my_friend;en
do you work;agent_occupation;en
where do you work;agent_occupation;en
where you work;agent_occupation;en
where is your work;agent_occupation;en
where is your office;agent_occupation;en
where is your office location;agent_occupation;en
your office location;agent_occupation;en
where is your office located;agent_occupation;en
what is your work;agent_occupation;en
were you born here;agent_origin;en
where were you born;agent_origin;en
what is your country;agent_origin;en
where are you from;agent_origin;en
where do you come from;agent_origin;en
where did you come from;agent_origin;en
where have you been born;agent_origin;en
from where are you;agent_origin;en
are you from far aways;agent_origin;en
what's your homeland;agent_origin;en
your homeland is;agent_origin;en
are you ready;agent_ready;en
are you ready right now;agent_ready;en
are you ready today;agent_ready;en
are you ready now;agent_ready;en
are you ready tonight;agent_ready;en
were you ready;agent_ready;en
have you been ready;agent_ready;en
you are real;agent_real;en
you are not fake;agent_real;en
are you real;agent_real;en
you are so real;agent_real;en
I think you are real;agent_real;en
I don't think you're fake;agent_real;en
I suppose you're real;agent_real;en
glad you're real;agent_real;en
are you a real person;agent_real;en
are you a real human;agent_real;en
you are a real person;agent_real;en
you are not real;agent_real;en
where do you live;agent_residence;en
in which city do you live;agent_residence;en
your residence;agent_residence;en
your house;agent_residence;en
your home;agent_residence;en
your hometown;agent_residence;en
what is your hometown;agent_residence;en
is it your hometown;agent_residence;en
where is your hometown;agent_residence;en
tell me about your city;agent_residence;en
what is your city;agent_residence;en
what is your residence;agent_residence;en
what is your town;agent_residence;en
what's your city;agent_residence;en
what's your home;agent_residence;en
where is your home;agent_residence;en
where is your residence;agent_residence;en
where's your home;agent_residence;en
where's your hometown;agent_residence;en
where's your house;agent_residence;en
where you live;agent_residence;en
your city;agent_residence;en
your town;agent_residence;en
that's true;agent_right;en
you are right;agent_right;en
you're definitely right;agent_right;en
you're not wrong;agent_right;en
you're telling the truth;agent_right;en
what you say is true;agent_right;en
TRUE;agent_right;en
it is true;agent_right;en
it's right;agent_right;en
it's the truth;agent_right;en
it's true;agent_right;en
that is correct;agent_right;en
that is right;agent_right;en
that is true;agent_right;en
that is very true;agent_right;en
that's so true;agent_right;en
you are correct;agent_right;en
you are so right;agent_right;en
you're absolutely right;agent_right;en
you're right about that;agent_right;en
I know that's right;agent_right;en
that's correct;confirmation_yes;en
it's fine;confirmation_yes;en
go ahead;confirmation_yes;en
sounds good;confirmation_yes;en
okay;confirmation_yes;en
yes;confirmation_yes;en
ok;confirmation_yes;en
okie dokie;confirmation_yes;en
sure;confirmation_yes;en
go for it;confirmation_yes;en
yeah;confirmation_yes;en
yea;confirmation_yes;en
do it;confirmation_yes;en
of course;confirmation_yes;en
I guess;confirmation_yes;en
correct;confirmation_yes;en
yeah sure;confirmation_yes;en
why not;confirmation_yes;en
please do;confirmation_yes;en
sure is;confirmation_yes;en
I agree;confirmation_yes;en
I don't mind;confirmation_yes;en
certainly;confirmation_yes;en
exactly;confirmation_yes;en
yes I agree;confirmation_yes;en
I think so;confirmation_yes;en
yes it is;confirmation_yes;en
right;confirmation_yes;en
okay then;confirmation_yes;en
yes of course;confirmation_yes;en
yes I do;confirmation_yes;en
that s okay;confirmation_yes;en
I do;confirmation_yes;en
yup;confirmation_yes;en
ya;confirmation_yes;en
oh yes;confirmation_yes;en
yes sure;confirmation_yes;en
obviously;confirmation_yes;en
k;confirmation_yes;en
sure why not;confirmation_yes;en
yeah right;confirmation_yes;en
yeah of course;confirmation_yes;en
absolutely;confirmation_yes;en
yes indeed;confirmation_yes;en
ok sure;confirmation_yes;en
ok yes;confirmation_yes;en
yes correct;confirmation_yes;en
ok thank you;confirmation_yes;en
sure thing;confirmation_yes;en
ye;confirmation_yes;en
confirm;confirmation_yes;en
yep;confirmation_yes;en
looks good;confirmation_yes;en
yes thank you;confirmation_yes;en
definitely;confirmation_yes;en
yes right;confirmation_yes;en
yes I would like to;confirmation_yes;en
alrighty;confirmation_yes;en
yes definitely;confirmation_yes;en
yeh;confirmation_yes;en
yes it is correct;confirmation_yes;en
yeah that's right;confirmation_yes;en
ok you can;confirmation_yes;en
yap;confirmation_yes;en
yes you may;confirmation_yes;en
confirmed;confirmation_yes;en
of course why not;confirmation_yes;en
yes that's fine;confirmation_yes;en
affirmative;confirmation_yes;en
yeah go ahead;confirmation_yes;en
yeah I'm sure;confirmation_yes;en
okay sounds good;confirmation_yes;en
okay that's fine;confirmation_yes;en
yeah exactly;confirmation_yes;en
that is ok;confirmation_yes;en
this is correct;confirmation_yes;en
ok go ahead;confirmation_yes;en
yes this is correct;confirmation_yes;en
nevermind its okay;confirmation_yes;en
okey;confirmation_yes;en
yes for sure;confirmation_yes;en
all right;confirmation_yes;en
are you sure;agent_sure;en
are you sure right now;agent_sure;en
are you sure today;agent_sure;en
are you sure now;agent_sure;en
are you sure tonight;agent_sure;en
why aren't you talking to me;agent_talk_to_me;en
do you want to chat with me;agent_talk_to_me;en
will you talk to me;agent_talk_to_me;en
talk to me;agent_talk_to_me;en
are you going to talk to me;agent_talk_to_me;en
are you talking to me;agent_talk_to_me;en
can you chat with me;agent_talk_to_me;en
can you speak with me;agent_talk_to_me;en
can you talk to me;agent_talk_to_me;en
can you talk with me;agent_talk_to_me;en
say;agent_talk_to_me;en
talk;agent_talk_to_me;en
chat with me;agent_talk_to_me;en
just chat with me;agent_talk_to_me;en
speak to me;agent_talk_to_me;en
speak with me;agent_talk_to_me;en
talk with me;agent_talk_to_me;en
why don't you talk to me;agent_talk_to_me;en
you can talk to me;agent_talk_to_me;en
are you there;agent_there;en
you are there;agent_there;en
are you near me;agent_there;en
are you here;agent_there;en
are you still there;agent_there;en
you are here;agent_there;en
you still there;agent_there;en
are you still here;agent_there;en
pretty bad;appraisal_bad;en
not good enough;appraisal_bad;en
that was lame;appraisal_bad;en
that was terrible;appraisal_bad;en
it is bad;appraisal_bad;en
that's bad;appraisal_bad;en
this is bad;appraisal_bad;en
not good;appraisal_bad;en
I'm afraid it's bad;appraisal_bad;en
no it's bad;appraisal_bad;en
that was awful;appraisal_bad;en
bad;appraisal_bad;en
so bad;appraisal_bad;en
this is too bad;appraisal_bad;en
terrible;appraisal_bad;en
horrible;appraisal_bad;en
horrific;appraisal_bad;en
abysmal;appraisal_bad;en
it's bad;appraisal_bad;en
no good;appraisal_bad;en
that was bad;appraisal_bad;en
that was horrible;appraisal_bad;en
that's lame;appraisal_bad;en
that's not good;appraisal_bad;en
that's terrible;appraisal_bad;en
that's too bad;appraisal_bad;en
this is not good;appraisal_bad;en
too bad;appraisal_bad;en
very bad;appraisal_bad;en
bad girl;appraisal_bad;en
it's not good;appraisal_bad;en
not so good;appraisal_bad;en
it's very bad;appraisal_bad;en
it's too bad;appraisal_bad;en
that's not good enough;appraisal_bad;en
well too bad;appraisal_bad;en
bad very bad;appraisal_bad;en
it's so bad;appraisal_bad;en
really bad;appraisal_bad;en
it's really bad;appraisal_bad;en
bad idea;appraisal_bad;en
that is bad;appraisal_bad;en
that was not good;appraisal_bad;en
it's not so good;appraisal_bad;en
not a good one;appraisal_bad;en
oh that's not good;appraisal_bad;en
not too good;appraisal_bad;en
so lame;appraisal_bad;en
that's really bad;appraisal_bad;en
it is too bad;appraisal_bad;en
bad really bad;appraisal_bad;en
so cool;appraisal_good;en
cool;appraisal_good;en
that is good;appraisal_good;en
glad to hear that;appraisal_good;en
that's very nice of you;appraisal_good;en
terrific;appraisal_good;en
it's amazing;appraisal_good;en
that's awesome;appraisal_good;en
perfect;appraisal_good;en
excellent;appraisal_good;en
that's great;appraisal_good;en
it's good;appraisal_good;en
it's great;appraisal_good;en
fine;appraisal_good;en
good;appraisal_good;en
nice;appraisal_good;en
that's fine;appraisal_good;en
very good;appraisal_good;en
amazing;appraisal_good;en
fantastic;appraisal_good;en
great;appraisal_good;en
good very good;appraisal_good;en
that's very good;appraisal_good;en
really good;appraisal_good;en
it is fine;appraisal_good;en
it is good;appraisal_good;en
it's perfect;appraisal_good;en
much better;appraisal_good;en
not bad;appraisal_good;en
not too bad;appraisal_good;en
it's very good;appraisal_good;en
marvelous;appraisal_good;en
that's nice;appraisal_good;en
pleasant;appraisal_good;en
pretty good;appraisal_good;en
really nice;appraisal_good;en
splendid;appraisal_good;en
straight;appraisal_good;en
super;appraisal_good;en
super fantastic;appraisal_good;en
sweet;appraisal_good;en
really well;appraisal_good;en
very well;appraisal_good;en
that is awesome;appraisal_good;en
that is nice;appraisal_good;en
that is wonderful;appraisal_good;en
that was amazing;appraisal_good;en
that was awesome;appraisal_good;en
that was cute;appraisal_good;en
that was pretty good;appraisal_good;en
that was very good;appraisal_good;en
that's a good idea;appraisal_good;en
that's a good thing;appraisal_good;en
that's amazing;appraisal_good;en
that's awesome thank you;appraisal_good;en
that's better;appraisal_good;en
that's cute;appraisal_good;en
that's fantastic;appraisal_good;en
that's much better;appraisal_good;en
that's nice of you;appraisal_good;en
that's not bad;appraisal_good;en
that's perfect;appraisal_good;en
that's pretty good;appraisal_good;en
that's really good;appraisal_good;en
that's really nice;appraisal_good;en
that's sweet of you;appraisal_good;en
that's very nice;appraisal_good;en
that's wonderful;appraisal_good;en
this is awesome;appraisal_good;en
this is good;appraisal_good;en
this is great;appraisal_good;en
very nice;appraisal_good;en
very then;appraisal_good;en
wonderful;appraisal_good;en
I'm glad to hear that;appraisal_good;en
ok good;appraisal_good;en
good for you;appraisal_good;en
good to know;appraisal_good;en
glad to hear it;appraisal_good;en
so good;appraisal_good;en
so sweet of you;appraisal_good;en
it was good;appraisal_good;en
oh well;appraisal_good;en
good thing;appraisal_good;en
that was good;appraisal_good;en
it's awesome;appraisal_good;en
okay good;appraisal_good;en
no it's okay;appraisal_good;en
no worries;appraisal_no_problem;en
no probs;appraisal_no_problem;en
no problem;appraisal_no_problem;en
there's no problem;appraisal_no_problem;en
sure no problem;appraisal_no_problem;en
no problem about that;appraisal_no_problem;en
don't worry;appraisal_no_problem;en
don't worry there's no problem;appraisal_no_problem;en
you helped a lot thank you;appraisal_thank_you;en
appreciate your help;appraisal_thank_you;en
cheers;appraisal_thank_you;en
thank you;appraisal_thank_you;en
thanks;appraisal_thank_you;en
thanks a lot;appraisal_thank_you;en
terrific thank you;appraisal_thank_you;en
great thank you;appraisal_thank_you;en
thanks so much;appraisal_thank_you;en
thank you so much;appraisal_thank_you;en
thanks for your help;appraisal_thank_you;en
thank you for your help;appraisal_thank_you;en
nice thank you;appraisal_thank_you;en
I appreciate it;appraisal_thank_you;en
I thank you;appraisal_thank_you;en
thank you that will be all;appraisal_thank_you;en
thanks buddy;appraisal_thank_you;en
thanks love;appraisal_thank_you;en
thank you my friend;appraisal_thank_you;en
well thanks;appraisal_thank_you;en
very good thank you;appraisal_thank_you;en
good thanks;appraisal_thank_you;en
thanks again;appraisal_thank_you;en
thank you again;appraisal_thank_you;en
all thank you;appraisal_thank_you;en
alright thank you;appraisal_thank_you;en
alright thanks;appraisal_thank_you;en
no thank you that's all;appraisal_thank_you;en
perfect thank you;appraisal_thank_you;en
so nice of you;appraisal_thank_you;en
well thank you;appraisal_thank_you;en
thnx;appraisal_thank_you;en
thanx;appraisal_thank_you;en
that's my pleasure;appraisal_welcome;en
my pleasure;appraisal_welcome;en
anytime;appraisal_welcome;en
welcome;appraisal_welcome;en
you're welcome;appraisal_welcome;en
sure welcome;appraisal_welcome;en
welcome here;appraisal_welcome;en
you're so welcome;appraisal_welcome;en
anything you want;appraisal_welcome;en
good job;appraisal_well_done;en
great job;appraisal_well_done;en
way to go;appraisal_well_done;en
well done;appraisal_well_done;en
nice work;appraisal_well_done;en
great work;appraisal_well_done;en
amazing work;appraisal_well_done;en
bravo;appraisal_well_done;en
good work;appraisal_well_done;en
cancel;confirmation_cancel;en
abort;confirmation_cancel;en
annul;confirmation_cancel;en
cancel it;confirmation_cancel;en
cancel request;confirmation_cancel;en
cancelled;confirmation_cancel;en
dismiss;confirmation_cancel;en
dismissed;confirmation_cancel;en
disregard;confirmation_cancel;en
disregard that;confirmation_cancel;en
skip;confirmation_cancel;en
skip it;confirmation_cancel;en
cancel everything;confirmation_cancel;en
cancel all;confirmation_cancel;en
forget about it;confirmation_cancel;en
forget;confirmation_cancel;en
don't do that;confirmation_cancel;en
stop;confirmation_cancel;en
just forget it;confirmation_cancel;en
forget that;confirmation_cancel;en
discard;confirmation_cancel;en
forget this;confirmation_cancel;en
just forget about it;confirmation_cancel;en
forget about that;confirmation_cancel;en
i said cancel;confirmation_cancel;en
just cancel it;confirmation_cancel;en
nothing cancel;confirmation_cancel;en
just stop it;confirmation_cancel;en
no cancel cancel;confirmation_cancel;en
no just cancel;confirmation_cancel;en
cancel my request;confirmation_cancel;en
can you cancel that;confirmation_cancel;en
cancel all that;confirmation_cancel;en
cancel this request;confirmation_cancel;en
no cancel this;confirmation_cancel;en
no cancel everything;confirmation_cancel;en
no stop;confirmation_cancel;en
just forget;confirmation_cancel;en
i want to cancel;confirmation_cancel;en
nevermind forget about it;confirmation_cancel;en
no just cancel it;confirmation_cancel;en
nothing just forget it;confirmation_cancel;en
i said cancel it;confirmation_cancel;en
cancel the whole thing;confirmation_cancel;en
can you cancel it;confirmation_cancel;en
so cancel;confirmation_cancel;en
i said forget it;confirmation_cancel;en
cancel all this;confirmation_cancel;en
forget it nevermind;confirmation_cancel;en
stop it;confirmation_cancel;en
i want to cancel it;confirmation_cancel;en
i would like to cancel;confirmation_cancel;en
now cancel;confirmation_cancel;en
cancel now;confirmation_cancel;en
sorry cancel;confirmation_cancel;en
cancel that one;confirmation_cancel;en
skip skip skip;confirmation_cancel;en
cancel it cancel it;confirmation_cancel;en
cancel that cancel that;confirmation_cancel;en
do nothing;confirmation_cancel;en
I said cancel cancel;confirmation_cancel;en
but can you cancel it;confirmation_cancel;en
how about no;confirmation_no;en
don t have a sense;confirmation_no;en
no;confirmation_no;en
don't;confirmation_no;en
I don't want that;confirmation_no;en
I disagree;confirmation_no;en
disagree;confirmation_no;en
I don't want;confirmation_no;en
not interested;confirmation_no;en
I don't think so;confirmation_no;en
no way;confirmation_no;en
no it isn't;confirmation_no;en
no I don't;confirmation_no;en
I'm not;confirmation_no;en
na;confirmation_no;en
no that's fine thank you;confirmation_no;en
never;confirmation_no;en
I said no;confirmation_no;en
of course not;confirmation_no;en
nah;confirmation_no;en
no tanks;confirmation_no;en
no never;confirmation_no;en
no need;confirmation_no;en
no thanks;confirmation_no;en
no sorry;confirmation_no;en
do not;confirmation_no;en
not today;confirmation_no;en
no it's not;confirmation_no;en
absolutely not;confirmation_no;en
not that;confirmation_no;en
nooo;confirmation_no;en
nope;confirmation_no;en
I don't want to;confirmation_no;en
no I would not;confirmation_no;en
let 's not;confirmation_no;en
not needed;confirmation_no;en
not this time;confirmation_no;en
no don't do that;confirmation_no;en
thanks but no thanks;confirmation_no;en
no that's wrong;confirmation_no;en
not this;confirmation_no;en
definitely not;confirmation_no;en
not at this time;confirmation_no;en
not exactly;confirmation_no;en
no don't;confirmation_no;en
not really no;confirmation_no;en
no thank you not right now;confirmation_no;en
actually no;confirmation_no;en
no leave it;confirmation_no;en
sorry no;confirmation_no;en
no incorrect;confirmation_no;en
nope sorry;confirmation_no;en
I say no;confirmation_no;en
not really;confirmation_no;en
not right now thanks;confirmation_no;en
I think no;confirmation_no;en
absolutely no;confirmation_no;en
no actually;confirmation_no;en
apparently not;confirmation_no;en
no do not;confirmation_no;en
no just no;confirmation_no;en
no but thank you;confirmation_no;en
no need thanks;confirmation_no;en
no thank you though;confirmation_no;en
no thank you very much;confirmation_no;en
no thanks not right now;confirmation_no;en
no forget;confirmation_no;en
wait a second;dialog_hold_on;en
could you wait;dialog_hold_on;en
wait please;dialog_hold_on;en
hold on;dialog_hold_on;en
wait;dialog_hold_on;en
oh wait;dialog_hold_on;en
wait hold on;dialog_hold_on;en
don't rush;dialog_hold_on;en
wanna hug;dialog_hug;en
hug you;dialog_hug;en
do you want a hug;dialog_hug;en
may I hug you;dialog_hug;en
could you give me a hug;dialog_hug;en
I want a hug;dialog_hug;en
